key,balance,balanceEligible,balanceAtStart, isDisqualified, isNode, isActive,isEligibleFor_1_2,isEligibleFor_1_3
SMJUzBcpVutRyuiQyTfpiLvXb8oSbmBEw1,250,250,0, no, no, no,no,no
SML6QGnU8euQLS5thTrbndSqExd2qAvKGs,500,500,0, no, no, no,no,no
SMLuzvChZpVHrjAP4nKr4RwzrNFDtdXHdQ,250,250,0, no, no, no,no,no
SMMC8UnoVySsPxzhVzpDL5q8pWh4xsUReQ,1750,1750,0, no, no, no,yes,no
SMMkyG1epMMJXxi7bBuRzhknEfd8yAhphL,500,500,0, no, no, no,no,no
SMMwZTmnVp4v9HT2m7RdVmNtkwas5kT1bx,250,250,0, no, no, no,no,no
SMP1w3fvJdCvgGAsfYbTnkaFfQRVALnr9n,250,250,0, no, no, no,no,no
SMPGdMGubxCaQPawvUxqwB2DaJQUpvLD5M,250,250,0, no, no, no,no,no
SMRbaUPDNPhpEfKTFj2BUQ5iPNynDdYoww,500,500,0, no, no, no,no,no
SMTGWnWPF1969AAuWoKGPnpNtAAwgSCPMm,250,250,0, no, no, no,no,no
SMUAMkZfvSM9ovdiYNdr7sgvDfcb9hiCTC,250,250,0, no, no, no,no,no
SMUjFD5A8ZigV8pekWv8kXuq6h9b65PRRZ,250,250,0, no, no, no,no,no
SMUrt16HfNKKrYTVZdBnUjTbp97UyzQuGz,5000,5000,0, no, no, no,yes,no
SMVAGFe5ZTnJaMoBwhvkrzUUxaygvkMUGe,250,250,0, no, no, no,no,no
SMWGDKSy2rsjRrT6ARzhY3rpsaMNFoXj2J,20,20,0, no, no, no,no,no
SMWQvQx8xMgZjbgEt8VMN39q4U8miyJ79W,3279,3279,0, no, no, no,yes,no
SMWVtoUYW3vVCL5fk8CVa5ZpCkCedVewa7,100000,100000,0, no, no, no,yes,no
SMWZcB7eyYLFEXPw1kPaBMjf7wfWXZW3YG,49,49,0, no, no, no,no,no
SMWnWAW24K911KKqGD2HPMcKCtsE7ec73y,500,500,0, no, no, no,no,no
SMX4meuxNL9Ct6LQ2eEpE5FaADx2bxxvT6,250,250,0, no, no, no,no,no
SMXAe7PPQDi1kiNitDijPW2P4LUhmN7a4z,250,250,0, no, no, no,no,no
SMXrk1X5cULc7vzH8b76zxJbxRHo6mx75J,250,250,0, no, no, no,no,no
SMYATFizkjJs76tq2zFCN5s16cMbvxxLfd,2000,2000,0, no, no, no,yes,no
SMYJ79wT4SDPbwivf2fpFL8xuUTNvDmovL,250,250,0, no, no, no,no,no
SMaKWYJxifgDWL2LSwWRvAZufUUcYqbmoe,250,250,0, no, no, no,no,no
SMbB2BU4MSiDRE2xdAtfFuTzhogwxpLGCx,250,250,0, no, no, no,no,no
SMbUzPijDPw84HEngfpiuNSpsGvisRme3V,250,250,0, no, no, no,no,no
SMda6k6bZC1diEkxTaSnukFozRNqJ2uuKm,500,500,0, no, no, no,no,no
SMdfaDQJuD9TWbASm1uFKeFH9on68xo1HZ,250,250,0, no, no, no,no,no
SMdyR6nrgfbHh1BM79diph6w8Mx9o99BGe,25988,25988,0, no, no, no,yes,no
SMe96J3sXQnCB4gvS8jYPKcHzE88Fp8puA,250,250,0, no, no, no,no,no
SMfq6YX7ddJsj3sLxwnsFWnV5gtJY8eet1,250,250,0, no, no, no,no,no
SMhJwMFTBJros8oQDGgPeENeS4NK5nYFJ7,250,250,0, no, no, no,no,no
SMjgaAsE1uXkqaEom28ytrEUkABb7H8qkq,250,250,0, no, no, no,no,no
SMjvocgH32GkpaCKFpqNrdpCouUmLwWXeu,250,250,0, no, no, no,no,no
SMkHD6Qw5HUk4mQ49QFJvCPGjjzJ6ZGE6M,250,250,0, no, no, no,no,no
SMmoqGrD9WSn236X8dQ77XVVhSMRHasXKT,897,897,0, no, no, no,no,no
SMowpCZPqXAvgr8kFSedFv6Hof5Hys1pf5,250,250,0, no, no, no,no,no
SMpEAjbZcESuoH24vwFpfutWUZ8wgFLKq4,1250000,1250000,0, no, no, no,yes,no
SMqbkAuXGLULYXphFZtV2PsHiyHZNnQGbr,250,250,0, no, no, no,no,no
SMqovsF2AE6bxb7wKdgWmRX1hUEwqdsX4T,250,250,0, no, no, no,no,no
SMtEkQF1pvC5AsALRUARiZ77joqQtEjf1G,250,250,0, no, no, no,no,no
SMuGdoo492iQscuKdgyPPPZ4aVaQs6MDdT,1001,1001,0, no, no, no,yes,no
SMvmETZa5SjvFGxjKjujeoCedZnPwfNamm,250,250,0, no, no, no,no,no
SMygzShG8x5qrYC5inNJRoDammGYzv41em,50000,50000,0, no, no, no,yes,no
SN1nEPyd5vJuKNvSTLMRsHgk8N77ConyW9,1001,1001,0, no, no, no,yes,no
SN2DwFMTE6JXExU9dSJvYN584vonzJ4vkf,73937,73937,0, no, no, no,yes,no
SN2ex4hicdNKB44jfuCZzKHdVyxyVnrY1H,1022,1022,0, no, no, no,yes,no
SN3zBEsbVspgW36VRsEuSkHcKBV1GrT6WL,250,250,0, no, no, no,no,no
SN5rAJhknUqEPvUPXQvFgL4jW5wNHRNdJb,500,500,0, no, no, no,no,no
SN7KHX2kw424seKLhnZU6GQA4ibeYSFc31,250,250,0, no, no, no,no,no
SN86NDT8C5zj9QBqzqKwxLpPdvPXZuuh1Q,250,250,0, no, no, no,no,no
SN8V7bgcMeyGvgga78noYgMQxWTHntCiK2,0,0,0, no, no, no,no,no
SN9F8Jc5rhugjjfWyHEc7dfJ3frFp8HWPe,250,250,0, no, no, no,no,no
SN9KBARwjLL162qrZY5kCbMvYm8kQpCnYd,250,250,0, no, no, no,no,no
SN9mzGRCTQXPu5QnYHu7TxpH74xVTXRPdK,250,250,0, no, no, no,no,no
SNAUE6EEoLPpuRfVBZWFynX2Kq4S3ZW2pg,250,250,0, no, no, no,no,no
SNCZmm9RYkbRVoqQmKGKWMCm6Q78PpCjqk,1852,1852,0, no, no, no,yes,no
SNCbY88araJhCq6pkpaEDudvJ7S7kBBqQe,250,250,0, no, no, no,no,no
SNEwXuBccfNWw44GhmCNijYPSu51hoCLJr,250,250,0, no, no, no,no,no
SNFKdeVhRkBUZ1wxowR6xmN3fDbpsNRAMV,250,250,0, no, no, no,no,no
SNFSKNAE4QVEKZQDjBzBwKHgJebcD34sDy,250,250,0, no, no, no,no,no
SNFsNAP8AKv8rbVEeCMqvvoHKMed5wP74P,2000,2000,0, no, no, no,yes,no
SNGieyU6uVtTxP4Kpv9rtG8oQQLbRiYVU4,250,250,0, no, no, no,no,no
SNGzKjwt8Ha5xabt32T9Y8zJWubxBY1BSN,250,250,0, no, no, no,no,no
SNJd9qgvdXjRTYrqxQAeBGTMRFCS1tbFje,250,250,0, no, no, no,no,no
SNKKy2E1CRRn45tWcKzCj26Apwza92pNMH,250,250,0, no, no, no,no,no
SNKR94mqFf6wLjxSE3HkgU9XEgGPRVybJD,250,250,0, no, no, no,no,no
SNLCwjD8Cg8njhx5gx3bawuh7Trv33aQwB,250,250,0, no, no, no,no,no
SNLTqdRwxuVsW72A8yk2sciJ5rKAVUHG7C,250,250,0, no, no, no,no,no
SNLYEWaJqRdmB3Qf8hgDceLnGBPMevzSvj,250,250,0, no, no, no,no,no
SNLrgbBvkqHyjAc4iPBVT4dyqBjo7JKhb1,2249,2249,0, no, no, no,yes,no
SNMJ6dg2cnRizpnrFbxsGnUAUUH3pcyHvG,0,0,0, no, no, no,no,no
SNMNZQTaRDvZr7WQGKnBJTg77mafX8mRpG,250,250,0, no, no, no,no,no
SNMPAj3pVKUTjWyazETffLX89AkQtraHWp,60,60,0, no, no, no,no,no
SNNUrZYzq371iyS4YcTUjSjFhTE25132wY,250,250,0, no, no, no,no,no
SNNdAfucU7wbDUobCHqMEK3wMNVwvfVvMt,250,250,0, no, no, no,no,no
SNR7W79AUWEbXeXkEweA8Lf6ZPgCWxnFc8,250,250,0, no, no, no,no,no
SNRv9gS5T9Utqyshmd5eg5LC1ch3w4NYCd,250,250,0, no, no, no,no,no
SNSFbsLFrchFhXgaZ3vkEANAa3WTiCHThG,20034,20034,0, no, no, no,yes,no
SNSgwnfCSHCg6HpyJYFxhUpWQUYsunkPpt,87249,87249,0, no, no, no,yes,no
SNTepShoLfXivkMK7qwaEHbCjHu2bjDH92,49,49,0, no, no, no,no,no
SNUicNPcwbeUMaaAntZKUVSM5fd1ckV1NE,250,250,0, no, no, no,no,no
SNV28u9iWoRzfeWzYK4gbPRygcbSmhdxSm,250,250,0, no, no, no,no,no
SNVsgaVy9NacPK3RcJFmPviqfb2jUM34jS,1000,1000,0, no, no, no,yes,no
SNWXPJueeLdna7W4r5aPf2P458u5hvLoxQ,250,250,0, no, no, no,no,no
SNXZzXUta5pAuksW5QZ2GyHGYcfgrDHQdg,250,250,0, no, no, no,no,no
SNYBkn53BbCAfPzhwNXUD6HoAKpJvTsJpP,250,250,0, no, no, no,no,no
SNYFNmbms7Fzu3tXh3c83nhexhHvNzKsuW,250,250,0, no, no, no,no,no
SNYapV5TvwM6aWztbKA6ZT8aznJQiXkarU,250,250,0, no, no, no,no,no
SNYxxi2s5PW1JxjxVBrqYtgZAGYcagAf8J,250,250,0, no, no, no,no,no
SNaR3vC7pjn49KDooe2DFrNmpQQvJLFg94,250,250,0, no, no, no,no,no
SNbHcP7BrtMAwyQUZeFxC17z9KFaVxzk6w,250,250,0, no, no, no,no,no
SNbpUq28R1mGMF7c6MQQizR92ZUzUwE7yd,250,250,0, no, no, no,no,no
SNbuoYVJCvKd1Zrc1CPJ2eVqsn6i6hHhpV,250,250,0, no, no, no,no,no
SNcjuHEjFt5Yj5yfg2x6CxL4FAmeZDaiSP,10000,10000,0, no, no, no,yes,no
SNd65J9nG9ubpDyqG435LPCYZVdCwBDtx2,250,250,0, no, no, no,no,no
SNeV2hYqtDcYvHeyrxxFgCVFVbbmFwPNCK,250,250,0, no, no, no,no,no
SNebQNmksXrGqYPJA55EsP53XBWrYmJnTD,250,250,0, no, no, no,no,no
SNfDkLUrzGAr8nnnrEfENMCJ91vwL7Asms,1001,1001,0, no, no, no,yes,no
SNfyff6424QnHcfVXu3VU5r5H4Jb7dQdEP,250,250,0, no, no, no,no,no
SNgzFUezi9yeEYBpfgdarRpr1EHeYKporj,250,250,0, no, no, no,no,no
SNh2CHjSdwgQsFZAXHR8QNTMtVRUnR1tHy,500,500,0, no, no, no,no,no
SNhPukNNheJ8ZmU2ai6mp9vKddzdGmgsVr,250,250,0, no, no, no,no,no
SNhjhSVpE1SKqetospPk6UyFGyBDYBifqR,0,0,0, no, no, no,no,no
SNhrgZ68RbPDmghSZuQv1b7kKcXAQ8dmJo,250,250,0, no, no, no,no,no
SNhuSJeLviXsRLwWWGsbAXpJsKj55SLAHt,250,250,0, no, no, no,no,no
SNi4Bd1uJv1kJrgcLTw3CzTBu5vJugcpnx,250,250,0, no, no, no,no,no
SNiRqJfmGQYK5FMjXoySQzUEXmKKtcFL4s,250,250,0, no, no, no,no,no
SNj5tPtCjxtVwaygvawFJtVFX4jBXxiTaE,250,250,0, no, no, no,no,no
SNjfMhY31UJh2imZ23dDgYejC9YJeeb2KG,250,250,0, no, no, no,no,no
SNkS6zmPvzdA7MNpyHLLWGQpGWCuBHRA8m,250,250,0, no, no, no,no,no
SNn8TZgyhGBvfWqKkxk5URoijxucEd9ANY,250,250,0, no, no, no,no,no
SNnVnJjPGEeFMpRT3cKfFdiEA4Q5RrhJod,250,250,0, no, no, no,no,no
SNoUCb8EgQpFYLPBKy9UTM5MDNbKiVopQJ,250,250,0, no, no, no,no,no
SNoxr7f6oyRK1E7bJ4Uu1fojMn8CZMhBtg,250,250,0, no, no, no,no,no
SNp2sad14s6imjGit4hry3mk1CTHL5cHBo,250,250,0, no, no, no,no,no
SNpjHXpJFp6bzkCdU6VdRHZDGnBYfyD2dP,1250,1250,0, no, no, no,yes,no
SNqXxVKJqS7pMnBTMuTgftMwSKnNwyV4xc,250,250,0, no, no, no,no,no
SNs7CiKh9sd74JNEMuFHyGFWAe5AKRttvj,1001,1001,0, no, no, no,yes,no
SNsw45ZELoqbfEwnDZJcqjEyUrEpo5Mo6W,304239,304239,0, no, no, no,yes,no
SNtiKzSyzfpEditgUM8BD4jUKNwghQpCem,250,250,0, no, no, no,no,no
SNwJF9CoPzc3vvBNv4fcxsAL2KvRC4D1Gj,250,250,0, no, no, no,no,no
SNwrP5gQBq7ULcAmQF6XLY6Vs46iKAyyS8,250,250,0, no, no, no,no,no
SNwzCJg1PbGSUCZWBx6uUrAQ6EP355JzrS,250,250,0, no, no, no,no,no
SNye5s35ez39ynkQfz3JiHqxbfDBEbqNvz,250,250,0, no, no, no,no,no
SNyqwimUeGhLLBPoWMguctqdEYdKQ6zWbU,250,250,0, no, no, no,no,no
SNz8Vif62VzCDPWtpUK6Snm5qQkkkXV26s,250,250,0, no, no, no,no,no
SNzAtchDRPKvJKfA5SKDba1mSCPZdEjAD3,899,899,0, no, no, no,no,no
SP4bLcJ5xvVjGme9n4a7NTti2Mw2cMn6Go,250,250,0, no, no, no,no,no
SP69CLKcVDdGtdbyKBcBDKSKmEDUhkBPR8,250,250,0, no, no, no,no,no
SP6Lqf2Rwzvg3PW6kFnP626q4yf2W6Pme2,250,250,0, no, no, no,no,no
SP6ZBDCutfLkGisy2gmY6zrTYks9ELLf2q,250,250,0, no, no, no,no,no
SP89zK5DHnqyrj1B5GzFTsH2Z7EUdwyRdZ,250,250,0, no, no, no,no,no
SP8NtcBGsMR4xwMRytUiovMvFVGMKptAj9,250,250,0, no, no, no,no,no
SP9jCP92mB9aty6SjtTZvRyjxTXoh6QE4Y,250,250,0, no, no, no,no,no
SPBFLyLG4qLCVfZYLeykuejHQBn6rzWEPD,500,500,0, no, no, no,no,no
SPCHS1ezTwkcn8RCfTetfMUqa3QBpLDwPd,250,250,0, no, no, no,no,no
SPEUXeK2o7ukPUvSb9DQ8CU6VQdSDuHbMw,20,20,0, no, no, no,no,no
SPJgQsb4c5M3E77ma3ytuwe9taycACSBHo,250,250,0, no, no, no,no,no
SPKHZannNEc3LnKUbW62JmC5JtV84yfguD,4,4,0, no, no, no,no,no
SPKXUWfFjp8LEjpBgkhkP9L7BtLLFcFC6s,250,250,0, no, no, no,no,no
SPLNvQm4F6vCUygFf6Z8kKncycZtRf4PcX,250,250,0, no, no, no,no,no
SPMAk9DvuzexzE3V27ZynHWARbxcj8tpQ6,250,250,0, no, no, no,no,no
SPMNrirjBX8kRvkkVpDY7LjXqqE7RHXPt5,250,250,0, no, no, no,no,no
SPMii4ncBrcDwBjNzYHrNCn2CeXgV7fMmJ,250,250,0, no, no, no,no,no
SPNHuR5CQ1ThAXDVfmt8ZamVTVR8RihUNL,5000,5000,0, no, no, no,yes,no
SPNkcuLN5uiL7WeCJfmvX1Wg49pmuHWKyr,0,0,0, no, no, no,no,no
